hours,dH_curl,dH_roll
-198.0,-0.551908,-0.239386
-197.0,-0.536179,-0.255681
-196.0,-0.530470,-0.275181
-195.0,-0.556167,-0.298624
-194.0,-0.519959,-0.319920
-193.0,-0.177950,-0.338294
-192.0,-0.195542,-0.357969
-191.0,-0.234001,-0.331886
-190.0,-0.281309,-0.306559
-189.0,-0.255556,-0.280980
-188.0,-0.220494,-0.254455
-187.0,-0.236096,-0.232180
-186.0,-0.238910,-0.242798
-185.0,-0.232256,-0.250382
-184.0,-0.223518,-0.254978
-183.0,-0.237868,-0.255583
-182.0,-0.252660,-0.260689
-181.0,-0.305361,-0.262125
-180.0,-0.286554,-0.261829
-179.0,-0.289160,-0.259537
-178.0,-0.288564,-0.256706
-177.0,-0.316821,-0.269507
-176.0,-0.237733,-0.279341
-175.0,-0.232543,-0.297683
-174.0,-0.211405,-0.311739
-173.0,-0.198288,-0.309536
-172.0,-0.377133,-0.294774
-171.0,-0.355873,-0.278671
-170.0,-0.472759,-0.255955
-169.0,-0.474037,-0.249025
-168.0,-0.260112,-0.255842
-167.0,-0.112015,-0.275479
-166.0,-0.095329,-0.302614
-165.0,-0.044238,-0.310833
-164.0,-0.154568,-0.320827
-163.0,-0.314344,-0.317798
-162.0,-0.447047,-0.310895
-161.0,-0.523909,-0.297316
-160.0,-0.475766,-0.288219
-159.0,-0.475794,-0.280900
-158.0,-0.436417,-0.277491
-157.0,-0.391202,-0.249106
-156.0,-0.097164,-0.221173
-155.0,-0.002856,-0.198185
-154.0,-0.007494,-0.173888
-153.0,-0.003331,-0.153564
-152.0,0.186047,-0.145114
-151.0,0.020860,-0.152848
-150.0,-0.171195,-0.185143
-149.0,-0.232349,-0.248063
-148.0,-0.231878,-0.306347
-147.0,-0.374385,-0.347998
-146.0,-0.529230,-0.387419
-145.0,-0.778742,-0.443538
-144.0,-0.852205,-0.479488
-143.0,-0.702264,-0.491387
-142.0,-0.507300,-0.493928
-141.0,-0.476385,-0.499985
-140.0,-0.487386,-0.492616
-139.0,-0.410538,-0.461333
-138.0,-0.313982,-0.399474
-137.0,-0.262839,-0.331112
-136.0,-0.304565,-0.288300
-135.0,-0.285962,-0.266253
-134.0,-0.153831,-0.247396
-133.0,-0.036431,-0.256626
-132.0,-0.031859,-0.296278
-131.0,-0.188522,-0.377704
-130.0,-0.242741,-0.491083
-129.0,-0.250092,-0.621339
-128.0,-0.598146,-0.755719
-127.0,-0.886369,-0.875892
-126.0,-1.291091,-0.979029
-125.0,-1.623393,-1.072634
-124.0,-1.867637,-1.137108
-123.0,-1.898518,-1.190750
-122.0,-1.595911,-1.244485
-121.0,-1.274065,-1.233881
-120.0,-1.155124,-1.199513
-119.0,-0.962203,-1.126856
-118.0,-0.886447,-1.028602
-117.0,-0.894916,-0.911690
-116.0,-0.470901,-0.791758
-115.0,-0.473945,-0.936092
-114.0,-0.419207,-1.289914
-113.0,-0.444355,-1.866209
-112.0,-0.464690,-2.634394
-111.0,-0.459335,-3.586709
-110.0,-3.327917,-4.641554
-109.0,-5.519935,-5.261723
-108.0,-8.070654,-5.796032
-107.0,-10.180429,-6.203646
-106.0,-12.314226,-6.526283
-105.0,-13.553050,-6.737345
-104.0,-7.912931,-6.697388
-103.0,-6.885654,-6.418714
-102.0,-5.310577,-5.984799
-101.0,-4.315993,-5.340660
-100.0,-2.997436,-4.522762
-99.0,0.020143,-3.534721
-98.0,0.016179,-2.442185
-97.0,-0.312956,-1.807518
-96.0,-0.340996,-1.249161
-95.0,-0.365643,-0.770903
-94.0,-0.457737,-0.378924
-93.0,-0.442616,-0.114607
-92.0,-0.296932,-0.140404
-91.0,-0.185365,-0.126352
-90.0,0.428516,-0.098023
-89.0,0.387751,-0.064805
-88.0,0.174371,-0.030969
-87.0,-0.289418,0.016694
-86.0,0.184806,0.072059
-85.0,0.026985,0.114315
-84.0,0.057623,0.100929
-83.0,0.040384,0.022184
-82.0,0.114226,-0.072914
-81.0,0.221759,-0.169574
-80.0,0.210139,-0.262795
-79.0,-0.345993,-0.427564
-78.0,-0.516430,-0.618596
-77.0,-0.753419,-0.820669
-76.0,-0.985548,-0.987387
-75.0,-1.408074,-1.130143
-74.0,-1.792421,-1.258605
-73.0,-2.265391,-1.344753
-72.0,-2.367257,-1.369779
-71.0,-1.960239,-1.373373
-70.0,-1.598843,-1.352248
-69.0,-1.319786,-1.309245
-68.0,-0.823629,-1.227600
-67.0,-0.646310,-1.113914
-66.0,-0.559552,-0.957233
-65.0,-0.499929,-0.785061
-64.0,-0.469509,-0.648013
-63.0,-0.428338,-0.537061
-62.0,-0.428189,-0.446072
-61.0,-0.385218,-0.406996
-60.0,-0.301184,-0.379253
-59.0,-0.315674,-0.356152
-58.0,-0.267412,-0.336816
-57.0,-0.227926,-0.324403
-56.0,-0.354709,-0.347750
-55.0,-0.313396,-0.395364
-54.0,-0.282336,-0.492913
-53.0,-0.267899,-0.657220
-52.0,-0.320558,-0.873436
-51.0,-0.708495,-1.111598
-50.0,-0.999556,-1.338619
-49.0,-1.555814,-1.470562
-48.0,-2.272865,-1.575989
-47.0,-2.910271,-1.667101
-46.0,-3.125356,-1.747353
-45.0,-2.952171,-1.811621
-44.0,-1.938028,-1.834777
-43.0,-1.578517,-1.831575
-42.0,-1.375680,-1.778461
-41.0,-1.230931,-1.661904
-40.0,-1.091768,-1.478676
-39.0,-0.986364,-1.267912
-38.0,-0.961138,-1.064742
-37.0,-0.918443,-0.938039
-36.0,-0.874182,-0.835383
-35.0,-0.711530,-0.748394
-34.0,-0.596188,-0.678869
-33.0,-0.514133,-0.593422
-32.0,-0.417597,-0.548289
-31.0,-0.346640,-0.492921
-30.0,-0.331809,-0.434222
-29.0,-0.396631,-0.371725
-28.0,-0.066412,-0.330518
-27.0,-0.444765,-0.300031
-26.0,-0.296725,-0.279298
-25.0,-0.214049,-0.245654
-24.0,-0.124220,-0.219232
-23.0,-0.217051,-0.194122
-22.0,-0.230339,-0.156764
-21.0,-0.265342,-0.150186
-20.0,-0.013872,-0.103417
-19.0,-0.029571,-0.077083
-18.0,-0.030491,-0.072919
-17.0,0.051664,-0.097714
-16.0,0.012532,-0.130111
-15.0,0.116464,-0.165489
-14.0,0.019283,-0.207357
-13.0,-0.164086,-0.234578
-12.0,-0.421755,-0.255391
-11.0,-0.605822,-0.269115
-10.0,-0.654869,-0.290650
-9.0,-0.767762,-0.311074
-8.0,-0.340521,-0.339708
-7.0,-0.279330,-0.352414
-6.0,-0.195177,-0.346752
-5.0,-0.206757,-0.321046
-4.0,-0.232551,-0.286037
-3.0,-0.227151,-0.248519
-2.0,-0.133182,-0.199067
-1.0,-0.096149,-0.175430
0.0,-0.113284,-0.162381
1.0,-0.185706,-0.163998
2.0,-0.204655,-0.167605
3.0,-0.174346,-0.178454
4.0,-0.056877,-0.201037
5.0,-0.122731,-0.241065
6.0,-0.214592,-0.284599
7.0,-0.250037,-0.319697
8.0,-0.362738,-0.345271
9.0,-0.498142,-0.370585
10.0,-0.613518,-0.405910
11.0,-0.618566,-0.465200
12.0,-0.534461,-0.520220
13.0,-0.492584,-0.568114
14.0,-0.508426,-0.610673
15.0,-0.598246,-0.644255
16.0,-0.768359,-0.660376
17.0,-0.782975,-0.668510
18.0,-0.789323,-0.676751
19.0,-0.760738,-0.695354
20.0,-0.765723,-0.724533
21.0,-0.691598,-0.758866
22.0,-0.711123,-0.792680
23.0,-0.717455,-0.853088
24.0,-0.757703,-0.972442
25.0,-0.842725,-1.110731
26.0,-0.920427,-1.224682
27.0,-1.004014,-1.325935
28.0,-1.493256,-1.436418
29.0,-2.215222,-1.540265
30.0,-2.448791,-1.638613
31.0,-2.128143,-1.734890
32.0,-1.980768,-1.825507
33.0,-2.017384,-1.903931
34.0,-1.957289,-1.970492
35.0,-1.897630,-1.990458
36.0,-1.913033,-1.955278
37.0,-1.930128,-1.893599
38.0,-1.861517,-1.855361
39.0,-1.802741,-1.827212
40.0,-1.732847,-1.793594
41.0,-1.793067,-1.761161
42.0,-1.708642,-1.725700
43.0,-1.669289,-1.683284
44.0,-1.642978,-1.639285
45.0,-1.613973,-1.597557
46.0,-1.568088,-1.558028
47.0,-1.472100,-1.516813
48.0,-1.404039,-1.468480
49.0,-1.402134,-1.416271
50.0,-1.360791,-1.360409
51.0,-1.328388,-1.323683
52.0,-1.238269,-1.292180
53.0,-1.213074,-1.280919
54.0,-1.082132,-1.306009
55.0,-0.998936,-1.338597
56.0,-1.202266,-1.365946
57.0,-1.235946,-1.385135
58.0,-1.432953,-1.405724
59.0,-1.773184,-1.448928
60.0,-1.795094,-1.519928
61.0,-1.730319,-1.604319
62.0,-1.591061,-1.683548
63.0,-1.575451,-1.743070
64.0,-1.756716,-1.818619
65.0,-2.065082,-1.910518
66.0,-2.094819,-2.011003
67.0,-1.949683,-2.099444
68.0,-1.916534,-2.164189
69.0,-2.142536,-2.239172
70.0,-2.535732,-2.331323
71.0,-2.979014,-2.420272
72.0,-2.856380,-2.471831
73.0,-2.507262,-2.500100
74.0,-2.490853,-2.517226
75.0,-2.681265,-2.540229
76.0,-2.824101,-2.563273
77.0,-2.683790,-2.565337
78.0,-2.434052,-2.526361
79.0,-2.155192,-2.480836
80.0,-2.192574,-2.482005
81.0,-2.419060,-2.508772
82.0,-2.560505,-2.528069
83.0,-2.511297,-2.514599
84.0,-2.310082,-2.535793
85.0,-2.521294,-2.586020
86.0,-2.812059,-2.672147
87.0,-2.912822,-2.759237
88.0,-2.662467,-2.830875
89.0,-2.938117,-2.901547
90.0,-3.036767,-2.978047
91.0,-3.188724,-3.055985
92.0,-3.237650,-3.113172
93.0,-3.278713,-3.139016
94.0,-3.408574,-3.184766
95.0,-3.429297,-3.223812
96.0,-3.245340,-3.240701
97.0,-3.207536,-3.241128
