hours,dH_curl,dH_roll
-162.0,-0.233003,-0.095809
-161.0,-0.250920,-0.103169
-160.0,-0.241387,-0.108998
-159.0,-0.244095,-0.104180
-158.0,-0.152175,-0.099116
-157.0,-0.028123,-0.098307
-156.0,-0.088325,-0.116816
-155.0,-0.069945,-0.122080
-154.0,0.057818,-0.128799
-153.0,0.060763,-0.140179
-152.0,0.009715,-0.154852
-151.0,-0.222116,-0.177349
-150.0,-0.296162,-0.205622
-149.0,-0.331559,-0.223737
-148.0,-0.377939,-0.241317
-147.0,-0.420176,-0.271133
-146.0,-0.422140,-0.303959
-145.0,-0.367393,-0.322292
-144.0,-0.305709,-0.315558
-143.0,-0.280903,-0.297298
-142.0,-0.299971,-0.270958
-141.0,-0.333157,-0.243869
-140.0,-0.210276,-0.208186
-139.0,-0.141310,-0.167270
-138.0,-0.077045,-0.126905
-137.0,-0.015482,-0.086884
-136.0,-0.052864,-0.049975
-135.0,0.008021,-0.012663
-134.0,0.068851,0.032096
-133.0,0.116991,0.058432
-132.0,0.174539,0.072716
-131.0,0.162002,0.079434
-130.0,0.147771,0.109357
-129.0,0.203952,0.158882
-128.0,0.105759,0.232170
-127.0,0.030095,0.191587
-126.0,0.003572,0.131846
-125.0,0.343600,0.062917
-124.0,0.541433,0.008256
-123.0,0.887472,-0.027176
-122.0,-0.418145,-0.067555
-121.0,-0.599902,-0.091694
-120.0,-0.652602,-0.109503
-119.0,-0.493934,-0.119542
-118.0,-0.277416,-0.156600
-117.0,-0.280590,-0.184053
-116.0,-0.183905,-0.257458
-115.0,-0.183619,-0.218260
-114.0,-0.116897,-0.159625
-113.0,-0.101096,-0.078205
-112.0,0.211992,-0.017756
-111.0,0.006612,0.029975
-110.0,0.052238,0.033072
-109.0,0.103715,0.036191
-108.0,0.324439,0.048403
-107.0,0.231454,0.062622
-106.0,0.295350,0.083519
-105.0,-0.243426,0.090373
-104.0,-0.146472,0.138137
-103.0,-0.037076,0.103114
-102.0,0.053734,0.064074
-101.0,0.149662,0.004244
-100.0,0.294246,-0.048915
-99.0,0.579779,-0.083358
-98.0,-0.368038,-0.075484
-97.0,-0.364762,-0.069224
-96.0,-0.393524,-0.041231
-95.0,-0.406451,-0.021618
-94.0,-0.117961,0.007277
-93.0,-0.148949,0.023388
-92.0,-0.071346,0.031946
-91.0,0.298838,0.117675
-90.0,0.289094,0.199185
-89.0,0.496403,0.225787
-88.0,0.487571,0.311361
-87.0,0.682472,0.369608
-86.0,0.660712,0.436241
-85.0,0.613359,0.492537
-84.0,-0.074300,0.509907
-83.0,0.620438,0.525253
-82.0,0.581010,0.528692
-81.0,0.650636,0.531973
-80.0,0.604208,0.522019
-79.0,0.507276,0.505210
-78.0,0.473247,0.488755
-77.0,0.537676,0.523001
-76.0,0.526946,0.490973
-75.0,0.563016,0.457143
-74.0,0.459010,0.418200
-73.0,0.415896,0.382847
-72.0,0.336657,0.352637
-71.0,0.236100,0.321603
-70.0,0.175048,0.286925
-69.0,0.183326,0.263022
-68.0,0.179967,0.229962
-67.0,0.144750,0.190697
-66.0,0.100848,0.151939
-65.0,0.121535,0.116888
-64.0,0.240107,0.083365
-63.0,0.166304,0.057242
-62.0,-0.012176,0.033438
-61.0,-0.049204,0.028429
-60.0,-0.083948,0.015074
-59.0,-0.166174,0.003409
-58.0,-0.138428,-0.015404
-57.0,-0.102319,-0.062900
-56.0,0.119850,-0.101230
-55.0,-0.015504,-0.124724
-54.0,-0.039140,-0.148739
-53.0,-0.104214,-0.361315
-52.0,-0.329845,-0.625954
-51.0,-0.293652,-0.880128
-50.0,-0.294108,-1.054356
-49.0,-0.337387,-1.094106
-48.0,-2.634860,-1.140580
-47.0,-3.341841,-1.190785
-46.0,-3.188515,-1.244110
-45.0,-2.193051,-1.282910
-44.0,-0.357160,-1.322293
-43.0,-0.573189,-1.367013
-42.0,-0.641593,-1.407108
-41.0,-0.744115,-1.393437
-40.0,-0.795447,-1.446086
-39.0,-0.766251,-1.561274
