hours,dH_curl,dH_roll
-816.0,-1.053412,-0.531763
-815.0,-1.028939,-0.625181
-814.0,-1.040925,-0.716320
-813.0,-1.073238,-0.803096
-812.0,-1.087063,-0.886835
-811.0,-1.097576,-0.961613
-810.0,-1.121014,-1.030299
-809.0,-1.093673,-1.014666
-808.0,-1.041307,-1.003415
-807.0,-1.004877,-0.989617
-806.0,-0.897338,-0.971147
-805.0,-0.824223,-0.947479
-804.0,-0.865819,-0.914389
-803.0,-0.893925,-0.877015
-802.0,-0.875353,-0.842538
-801.0,-0.851602,-0.812863
-800.0,-0.803037,-0.786814
-799.0,-0.700500,-0.762551
-798.0,-0.672528,-0.742250
-797.0,-0.679947,-0.714068
-796.0,-0.685212,-0.680845
-795.0,-0.692289,-0.647389
-794.0,-0.606173,-0.614508
-793.0,-0.580610,-0.582778
-792.0,-0.527644,-0.581272
-791.0,-0.495244,-0.583147
-790.0,-0.473885,-0.579919
-789.0,-0.457023,-0.574795
-788.0,-0.422283,-0.568019
-787.0,-0.682427,-0.569146
-786.0,-0.695029,-0.575395
-785.0,-0.641208,-0.597403
-784.0,-0.623719,-0.639064
-783.0,-0.610982,-0.695438
-782.0,-0.619696,-0.763429
-781.0,-0.655602,-0.856349
-780.0,-0.791741,-0.967088
-779.0,-0.995170,-1.079724
-778.0,-1.150380,-1.190690
-777.0,-1.272911,-1.282377
-776.0,-1.537319,-1.358814
-775.0,-2.011298,-1.380431
-774.0,-2.046662,-1.401942
-773.0,-1.972806,-1.406453
-772.0,-1.723959,-1.396098
-771.0,-1.528224,-1.373918
-770.0,-0.879097,-1.342350
-769.0,-0.913734,-1.278634
-768.0,-0.845882,-1.163194
-767.0,-0.870902,-1.038362
-766.0,-0.884219,-0.926404
-765.0,-0.894098,-0.825295
-764.0,-0.772726,-0.730583
-763.0,-0.626023,-0.676142
-762.0,-0.548678,-0.616960
-761.0,-0.629307,-0.565437
-760.0,-0.510654,-0.512561
-759.0,-0.391677,-0.459427
-758.0,-0.225806,-0.409442
-757.0,-0.203544,-0.371935
-756.0,-0.227607,-0.313026
-755.0,-0.236392,-0.261493
-754.0,-0.246616,-0.210215
-753.0,-0.294278,-0.170004
-752.0,-0.322633,-0.137305
-751.0,0.080885,-0.137486
-750.0,0.069714,-0.142214
-749.0,-0.013976,-0.150866
-748.0,-0.028122,-0.155012
-747.0,0.000711,-0.176880
-746.0,-0.227971,-0.220732
-745.0,-0.260288,-0.297640
-744.0,-0.331429,-0.428625
-743.0,-0.286138,-0.555288
-742.0,-0.509032,-0.649332
-741.0,-0.820505,-0.722492
-740.0,-1.245524,-0.780823
-739.0,-1.490936,-0.798150
-738.0,-1.450251,-0.963867
-737.0,-1.142506,-0.968024
-736.0,-0.906040,-0.974544
-735.0,-0.699260,-0.954524
-734.0,-0.435898,-0.938003
-733.0,-2.248881,-0.914715
-732.0,-0.381318,-0.889237
-731.0,-0.364376,-0.898363
-730.0,-0.268792,-0.954584
-729.0,-0.622248,-1.025580
-728.0,-0.966076,-1.100762
-727.0,-1.185198,-1.169827
-726.0,-1.559761,-1.084488
-725.0,-1.817162,-1.160221
-724.0,-1.757993,-1.254392
-723.0,-1.601438,-1.364532
-722.0,-1.264678,-1.460860
-721.0,-1.224820,-1.527714
-720.0,-1.290110,-1.560680
-719.0,-1.494421,-1.630281
-718.0,-1.590479,-1.693098
-717.0,-1.778179,-1.767226
-716.0,-1.768325,-1.859023
-715.0,-1.580796,-1.903433
-714.0,-2.394969,-1.936838
-713.0,-2.570963,-1.971151
-712.0,-2.647531,-1.987064
-711.0,-2.703005,-1.989677
-710.0,-1.797601,-1.968564
-709.0,-1.625675,-1.942456
-708.0,-1.701869,-1.914826
-707.0,-1.685382,-1.796899
-706.0,-1.621830,-1.633234
-705.0,-1.524822,-1.563569
-704.0,-1.455031,-1.351995
-703.0,-1.249238,-1.259252
-702.0,-0.979848,-1.223753
-701.0,-0.606981,-1.175660
-700.0,-1.811549,-1.115432
-699.0,-0.164113,-1.057308
-698.0,-0.684690,-1.061603
-697.0,-1.199678,-1.078118
-696.0,-1.124758,-1.116710
-695.0,-0.962651,-1.178787
-694.0,-0.924332,-1.277557
-693.0,-1.576370,-1.274302
-692.0,-1.653211,-1.416912
-691.0,-1.712335,-1.569433
-690.0,-1.724771,-1.696274
-689.0,-1.792231,-1.834288
-688.0,-1.772485,-1.996651
-687.0,-1.875431,-2.174444
-686.0,-2.514946,-2.293137
-685.0,-2.721768,-2.389295
-684.0,-2.780930,-2.491831
-683.0,-2.911003,-2.624628
-682.0,-3.057841,-2.762946
-681.0,-3.000697,-2.905875
-680.0,-2.807101,-3.044712
-679.0,-2.942769,-3.116949
-678.0,-3.318331,-3.163018
-677.0,-3.452048,-3.201031
-676.0,-3.487634,-3.226596
