hours,dH_curl,dH_roll
-216.0,-0.060972,-0.029147
-215.0,0.069458,-0.039593
-214.0,0.105527,-0.038473
-213.0,-0.113253,-0.039981
-212.0,-0.088803,-0.034534
-211.0,-0.261726,-0.019841
-210.0,-0.125346,-0.001564
-209.0,0.013440,0.025925
-208.0,-0.018098,0.027810
-207.0,0.065368,0.022846
-206.0,0.176307,0.036301
-205.0,0.219329,0.059338
-204.0,0.268902,0.095057
-203.0,0.092070,0.110423
-202.0,0.045961,0.107703
-201.0,0.048204,0.097305
-200.0,0.187644,0.088990
-199.0,0.166908,0.089510
-198.0,0.059047,0.077067
-197.0,-0.019204,0.055916
-196.0,-0.142881,0.056451
-195.0,-0.034408,0.061011
-194.0,0.182554,0.042794
-193.0,0.070013,0.019910
-192.0,0.015083,0.012747
-191.0,0.098491,0.024958
-190.0,0.100679,0.033481
-189.0,-0.170403,0.067107
-188.0,-0.086958,0.090725
-187.0,0.080946,0.097546
-186.0,0.205583,0.111477
-185.0,0.083067,0.127031
-184.0,0.260638,0.132700
-183.0,0.249006,0.130840
-182.0,0.264402,0.145167
-181.0,0.237188,0.148858
-180.0,0.201733,0.139225
-179.0,0.166516,0.123990
-178.0,0.078366,0.125310
-177.0,0.001519,0.117589
-176.0,-0.042663,0.028689
-175.0,-0.034659,-0.080568
-174.0,0.022765,-0.198027
-173.0,0.098909,-0.306890
-172.0,0.167984,-0.407045
-171.0,-0.817793,-0.498597
-170.0,-1.046681,-0.526396
-169.0,-1.172318,-0.553014
-168.0,-1.104621,-0.577550
-167.0,-1.035351,-0.639002
-166.0,-1.020261,-0.700485
-165.0,-0.332067,-0.767300
-164.0,-0.362075,-0.755636
-163.0,-0.329089,-0.676119
-162.0,-0.714658,-0.589554
-161.0,-0.638895,-0.508037
-160.0,-0.633787,-0.440610
-159.0,-0.677829,-0.375920
-158.0,-0.092478,-0.391584
-157.0,-0.133535,-0.407284
-156.0,-0.126417,-0.437951
-155.0,-0.226229,-0.444220
-154.0,-0.243976,-0.463979
-153.0,-0.520036,-0.503987
-152.0,-0.550473,-0.559526
-151.0,-0.697093,-0.622463
-150.0,-0.789885,-0.698661
-149.0,-0.876011,-0.782281
-148.0,-1.113879,-0.851262
-147.0,-1.344299,-0.918585
-146.0,-0.847727,-0.932194
-145.0,-1.047908,-0.917933
-144.0,-1.129860,-0.877513
-143.0,-1.053998,-0.823169
-142.0,-1.051853,-0.795647
-141.0,-0.683338,-0.702767
-140.0,-0.379350,-0.591472
