hours,dH_curl,dH_roll
-150.0,-7.904111,-4.079362
-149.0,-8.015983,-4.809694
-148.0,-7.970695,-5.547122
-147.0,-8.126802,-6.300939
-146.0,-8.431815,-7.059532
-145.0,-8.502939,-7.734009
-144.0,-8.763978,-8.443477
-143.0,-8.849141,-8.516825
-142.0,-9.045806,-8.613783
-141.0,-9.103116,-8.672932
-140.0,-8.093718,-8.698540
-139.0,-8.513619,-8.738310
-138.0,-8.784281,-8.681413
-137.0,-9.179487,-8.578347
-136.0,-8.680485,-8.462851
-135.0,-8.434092,-8.353124
-134.0,-8.909056,-8.266989
-133.0,-7.820177,-8.171189
-132.0,-7.527182,-8.043972
-131.0,-7.463198,-7.905054
-130.0,-7.729078,-7.766747
-129.0,-8.069497,-7.633364
-128.0,-6.944120,-7.519775
-127.0,-6.987013,-7.359646
-126.0,-7.117266,-7.244319
-125.0,-7.519797,-7.169562
-124.0,-7.079887,-7.064314
-123.0,-7.071035,-6.912284
-122.0,-6.987499,-6.746230
-121.0,-6.436252,-6.638003
-120.0,-6.630102,-6.569646
-119.0,-6.200223,-6.496658
-118.0,-5.904719,-6.432131
-117.0,-6.076847,-6.412988
-116.0,-5.645396,-6.403148
-115.0,-6.166729,-6.345235
-114.0,-6.241409,-6.374167
-113.0,-6.745479,-6.355692
-112.0,-6.850162,-6.358037
-111.0,-6.952964,-6.338670
-110.0,-6.292534,-6.310486
-109.0,-6.783443,-6.182267
-108.0,-6.408399,-6.002295
-107.0,-6.228357,-5.871201
-106.0,-5.672316,-5.725743
-105.0,-5.738638,-5.543148
-104.0,-4.106774,-5.363915
-103.0,-4.007064,-5.238670
-102.0,-4.668279,-5.057923
-101.0,-4.999984,-4.879160
-100.0,-4.659026,-4.704616
-99.0,-4.802170,-4.556983
-98.0,-4.789584,-4.396270
-97.0,-4.614490,-4.357389
-96.0,-4.263236,-4.342701
-95.0,-4.133828,-4.260186
-94.0,-3.900720,-4.131320
-93.0,-3.810089,-4.049925
-92.0,-3.640198,-3.953646
-91.0,-3.830807,-3.866330
-90.0,-3.678102,-3.875717
-89.0,-3.453590,-3.978577
-88.0,-3.682291,-3.957894
-87.0,-3.646818,-3.769473
-86.0,-3.741795,-3.448591
-85.0,-4.727134,-3.133765
-84.0,-5.497556,-2.799014
-83.0,-3.885622,-2.476485
-82.0,-1.639670,-2.175676
-81.0,0.040493,-1.859428
-80.0,0.137707,-1.556494
-79.0,0.186214,-1.259876
-78.0,0.192239,-0.897030
-77.0,0.156118,-0.472247
-76.0,0.112690,-0.174091
-75.0,-0.011609,-0.050351
-74.0,-0.182377,-0.055052
-73.0,-0.372993,-0.072518
-72.0,-0.400150,-0.091906
-71.0,-0.307749,-0.097732
-70.0,-0.154797,-0.108338
-69.0,-0.015923,-0.127737
-68.0,-0.071876,-0.151070
-67.0,-0.046451,-0.169459
-66.0,0.122334,-0.171634
-65.0,0.028849,-0.256446
-64.0,-0.120105,-0.392915
-63.0,-0.291606,-0.575692
-62.0,-0.403040,-0.768312
-61.0,-0.399098,-0.876650
-60.0,-1.417885,-0.927129
