hours,dH_curl,dH_roll
-666.0,-0.159988,-0.234875
-665.0,-0.297842,-0.283377
-664.0,-0.416128,-0.337377
-663.0,-0.590328,-0.379000
-662.0,-0.759487,-0.412524
-661.0,-0.594733,-0.442748
-660.0,-0.582022,-0.469849
-659.0,-0.648000,-0.441708
-658.0,-0.499472,-0.442034
-657.0,-0.402287,-0.431883
-656.0,-0.362688,-0.403489
-655.0,-0.325209,-0.355492
-654.0,0.177698,-0.324666
-653.0,-0.301746,-0.302802
-652.0,-0.294322,-0.291031
-651.0,-0.249604,-0.296800
-650.0,-0.183521,-0.306427
-649.0,-0.224820,-0.316343
-648.0,-0.319655,-0.312008
-647.0,-0.506744,-0.343841
-646.0,-0.568703,-0.346480
-645.0,-0.517814,-0.343270
-644.0,-0.481682,-0.337419
-643.0,-0.273185,-0.332229
-642.0,-0.204297,-0.319349
-641.0,-0.333419,-0.310377
-640.0,-0.255801,-0.286053
-639.0,-0.179385,-0.236307
-638.0,-0.121237,-0.195956
-637.0,-0.070269,-0.164311
-636.0,-0.211986,-0.145514
-635.0,-0.214855,-0.132262
-634.0,0.028250,-0.111279
-633.0,-0.033604,-0.103799
-632.0,-0.101949,-0.109592
-631.0,-0.047623,-0.126198
-630.0,-0.045272,-0.162230
-629.0,-0.081621,-0.192088
-628.0,-0.166040,-0.225381
-627.0,-0.248899,-0.277108
-626.0,-0.320509,-0.314074
-625.0,-0.502653,-0.333424
-624.0,-0.570277,-0.370750
-623.0,-0.614381,-0.418692
-622.0,-0.592466,-0.478428
-621.0,-0.477202,-0.560716
-620.0,-0.334144,-0.650512
-619.0,-0.495539,-0.728465
-618.0,-0.620577,-0.773468
-617.0,-0.798448,-0.784625
-616.0,-1.153493,-0.737443
-615.0,-1.326459,-0.695078
-614.0,-1.255942,-0.673181
-613.0,-1.042682,-0.662104
-612.0,-0.704169,-0.638446
-611.0,-0.048192,-0.604141
-610.0,-0.084094,-0.554591
-609.0,-0.214430,-0.480318
-608.0,-0.201223,-0.394047
-607.0,-0.211643,-0.339552
-606.0,-0.208912,-0.325169
-605.0,-0.203852,-0.378610
-604.0,-0.262215,-0.496076
-603.0,-0.291213,-0.628941
-602.0,-0.602003,-0.731368
-601.0,-0.870081,-0.841649
-600.0,-1.345462,-0.935466
-599.0,-1.457784,-0.989355
-598.0,-1.678477,-1.028783
